评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
GODSSOLDIER,Tassel has the wrong year.,https://www.amazon.com/gp/customer-reviews/R331KFUQGBZ4SW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"2.0 "," the United States "," January 21, 2025",,Verified Purchase,The cap and gown itself were as expected but it is advertised as a 2025 cap and gown w/ tassel set and it says 2024. Not sure why I would purchase this set in January 2025 and it have a 2024 tassel in it. Very disappointing.,
No name,Functional,https://www.amazon.com/gp/customer-reviews/RAPGTD445RZIH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," January 14, 2025",Color: BlackSize: 48Plus,Verified Purchase,Good product that servers its purpose and was reasonably priced.,
Linda,Missing items,https://www.amazon.com/gp/customer-reviews/R3CZ6RYK4DZ4LM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"1.0 "," the United States "," December 30, 2024",Color: BlackSize: 51,Verified Purchase,Ordered a cap and gown set and it came missing the cap and tassel.,
Ina,true to size!,https://www.amazon.com/gp/customer-reviews/R2KNQ0EQ2UL623/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," November 30, 2024",Color: BlackSize: 54Plus,Verified Purchase,fits like a regular cap and gown,
Big Lou,Cap and gown,https://www.amazon.com/gp/customer-reviews/R28NZRF6K6IGNZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," November 18, 2024",Color: BlackSize: 45Plus,Verified Purchase,Great Product good price,
Kammie Throckmorton,Looks nice!,https://www.amazon.com/gp/customer-reviews/R60RZ24CJUC15/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," November 11, 2024",Color: BlackSize: 45,Verified Purchase,Fit great and was nicely made!,
Adrieelep,Perfect size!,https://www.amazon.com/gp/customer-reviews/R1NVZQ66603GK0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," October 23, 2024",Color: BlackSize: 45Plus,Verified Purchase,I purchased this because our school wanted us to buy an $80 cap and gown. It fit perfect and came in on time. Very satisfied with my purchase,
Odalys Fonticoba,Excellent,https://www.amazon.com/gp/customer-reviews/RDSP3XAE6TKIX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," October 21, 2024",Color: BlackSize: 45,Verified Purchase,"I ordered it for my cousin's graduation and she loved it, very good quality",
Ceeceewyms314,Good but could’ve been better,https://www.amazon.com/gp/customer-reviews/R3OWCT17DA7KBL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"3.0 "," the United States "," October 15, 2024",,Verified Purchase,"When opening my package, I noticed that the gown was balled up in the package, and the cap was missing. I really wished the cap wasn’t missing from the order because the quality of the gown was well worth the price. I’m not sure if that was due to the seller or the fulfillment process but I had to return the items due to not receiving everything as described. I would recommend this product with hopes the same thing won’t happen to you.",
Jordan Leigh,Nice,https://www.amazon.com/gp/customer-reviews/R1SKP4FUCE6WJN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," September 29, 2024",Color: BlackSize: 54,,Perfect for pictures or a costume. Good quality and color. Material is soft and thin. Zipper works well too.,
W. F.,Zipper defected in most of the gowns.,https://www.amazon.com/gp/customer-reviews/R3BDUJ4P4CCHQW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"1.0 "," the United States "," September 26, 2024",Color: Emerald GreenSize: 57Plus,Verified Purchase,"Zipper defected.  Had to replace zippers in 16 of the 20 gowns ordered.  Could not return because gowns had been customized with school logo.  Customer did not realize the zippers were defected until student put on the robes to march in for graduation ceremony.  Ceremony was on September 7, 2024 which customer had to wait until after that date to contact Amazon.",
Keyania jones,cap was damage,https://www.amazon.com/gp/customer-reviews/R1D4XXM445JCF8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"2.0 "," the United States "," September 16, 2024",Color: BlackSize: 45,Verified Purchase,the gown was good just the hat had spots on it came like this,
Amazon Customer,Thin,https://www.amazon.com/gp/customer-reviews/RWIT6Z97UT6M9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"2.0 "," the United States "," September 15, 2024",Color: BlackSize: 48,Verified Purchase,This is a very cheap and thin material. But it served its purpose for photos.,
Jared BOrn,Runs very big,https://www.amazon.com/gp/customer-reviews/RTH8CIX0BXN5T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"3.0 "," the United States "," September 1, 2024",Color: BlackSize: 51Plus,,This gown is very nice quality however it runs very large. I was not able to use it for a High School Graduation photo session because it was so big.,
bianca emmons ;),graduation cap and gown,https://www.amazon.com/gp/customer-reviews/R374VFXIW1GV6V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," August 17, 2024",Color: BlackSize: 42,Verified Purchase,perfect for graduation and pics the quality is thick and not itchy no transparency the fit is cute it's a good price and the color isn't faded,
Elizabeth,Love the green color,https://www.amazon.com/gp/customer-reviews/R2SGA6A07OVPVK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," July 30, 2024",Color: Emerald GreenSize: 51,,This is a great gaduation gown. The green color is really nice. The material is soft but also has a nice texture. It is not silky or glossy.,
Nie,"Great product, complicated sizing chart",https://www.amazon.com/gp/customer-reviews/R21VYM0CP41R5X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"4.0 "," the United States "," July 26, 2024",Color: RedSize: 57,,"The fabric quality and color are as advertised. The tassel included the current and previous year charm to change out if need be. Just be sure not to toss it out with the bag. It was well packaged and arrived in good condition. Trying to interpret the sizing chart was my only hangup. I ordered a size up because based on the chart sizes for arms, chest height etc, I was either going to order too short or too long, too long can be hemmed. The smaller size in my case likely would have worked. Though this one was longer than anticipated it doesn't drag so it works.",3
Shaina S,Photo Op!,https://www.amazon.com/gp/customer-reviews/RNDFH8YLHKO28/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," July 24, 2024",Color: BlackSize: 51,Verified Purchase,"Bought black for photos. (He didn’t receive his real one until week of graduation). It is thin, but not see through thin. Exactly as stated in description.",2
heather jones,great,https://www.amazon.com/gp/customer-reviews/R2DG54XYNPIHWG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHKF4M,"5.0 "," the United States "," July 18, 2024",Color: PinkSize: 42Plus,,very good material and it fit well,
