评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Color in the calm,Great styling and comfort,https://www.amazon.com/gp/customer-reviews/R74X29DB3TDCK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," January 6, 2025",Size: SmallColor: Teal,Verified Purchase,"True to size, modest length, great retro details, awesome color selection and very comfortable stretch.",
M whitty,Great fit,https://www.amazon.com/gp/customer-reviews/R3J2OI6VID414L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," December 9, 2024",Size: LargeColor: Wine Red,Verified Purchase,"The material is good quality, the dress was a perfect fit, it has a bit of stretch so i went down a size. I'm very happy with my purchase",
CSlater,Love This Dress,https://www.amazon.com/gp/customer-reviews/R8DLDTW8CL90B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," December 3, 2024",Size: X-LargeColor: Black,Verified Purchase,"Bought this for a 1940’s play I’m in. It fits beautifully. Just enough stretch without being frumpy looking. Feels well-made (doesn’t feel like it’s going to fall apart on-stage). I bought it in black, so the color is exactly as it’s described. Looks beautiful on. Very happy with this purchase.",
Amanda Reider,Very cute!,https://www.amazon.com/gp/customer-reviews/R6N4900CFAM5Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," December 2, 2024",Size: SmallColor: Black,Verified Purchase,"I am impressed with the fabric quality of the dress. It feels like real clothing, not cheap like a costume.  The fit is great and I am happy overall. 5’1 125lbs. I bought a size small and it fits great!",
Letty,Runs small,https://www.amazon.com/gp/customer-reviews/R1E4Z3A7E4SP10/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"4.0 "," the United States "," December 1, 2024",Size: XX-LargeColor: Teal,Verified Purchase,Super cute vintage dress but it does run a tad small.,
Stephanie,Adore!,https://www.amazon.com/gp/customer-reviews/R11G865PLYQA9E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," November 25, 2024",Size: XX-LargeColor: Dark Green,Verified Purchase,I absolutely adore this dress! I received so many compliments on it. High quality material and comfortable to wear. I plan on purchasing additional colors. I purchased an XXL because I am larger chested and it fit perfectly.,
M. M,Cute,https://www.amazon.com/gp/customer-reviews/R31POHF6P4FIIA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," November 18, 2024",Size: SmallColor: Teal,Verified Purchase,Such a cute dress. Great fit and true to description. Wioth the price I paid,
Aalonzo,Good for Services,https://www.amazon.com/gp/customer-reviews/R3RQGPD7MJ7XWE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," November 5, 2024",Size: SmallColor: Teal,Verified Purchase,"Wore for services, worked great! But not awesome if you are super petite.",
Amazon Customer,Perfect For What I Meeded!,https://www.amazon.com/gp/customer-reviews/R2CH4DQE7MZ4C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"4.0 "," the United States "," November 2, 2024",Size: X-LargeColor: Teal,Verified Purchase,"I was in a play that was set in the 1940s, and the costume dept. didn't really have anything for me that would work with the other 2 girls' dresses. I found this dress online, and it was just right. 1940's style, fit right, correct length, and right color. It was polyester, which I don't think? was around yet in the 40s - I don't know, but for a play, it worked, and the price was doable. It's subtle enough that I can wear it myself for a summer dress if I choose to, though the jury is out on that yet!",
streamlinemoderne,SO FLATTERING. I didn't think it was possible.,https://www.amazon.com/gp/customer-reviews/RBXGFDVP7EHX0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," September 14, 2024",Size: XX-LargeColor: Teal,Verified Purchase,I'm stunned by how great-looking this dress is. I've tried for decades to find a dress like this and they almost always make me look matronly or ridiculous. I am a size 18 or 1x . I am huge chested and I have no waist. But this dress flatters everything. I just wear a simple shaper underneath and that's all. I bought the Teal and then I bought the Black. Give this dress a try if you've had vintage vixen dreams but have been disappointed again and again.,3
bk32002,Beautiful Dress!,https://www.amazon.com/gp/customer-reviews/R2IY4MLPIL8FBH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," September 9, 2024",Size: SmallColor: Wine Red,Verified Purchase,"My Daughter is 5 ft 7 and about 125 lbs. We ordered a size small. The dress is PERFECT. Perfect fit, so cute, modest, stylishly vintage, and a great length. Its fun, unique, and not too short. Amazing and a great prize. She is wearing the dress for Homecoming and she is very pleased with the dress. THANK YOU!",
Lauren,Disgusting,https://www.amazon.com/gp/customer-reviews/R3K7VYY2HO4A5O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"1.0 "," the United States "," September 9, 2024",Size: SmallColor: Dark Green,Verified Purchase,Just took this out of pacakge it’s covered in stains and deodorant marks,
Christina S.,So Cute and Comfy too!,https://www.amazon.com/gp/customer-reviews/R1YTJV9PTIZU9B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," August 27, 2024",Size: LargeColor: Teal,Verified Purchase,This dress was super comfy and fun to wear to a 1940s themed party. It was a hit and I won best dressed :),2
Sarah,Eh,https://www.amazon.com/gp/customer-reviews/R3G0YHF2Y3Q61N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"3.0 "," the United States "," July 30, 2024",,Verified Purchase,The color and fit is gorgeous. I don't love the material. It's a bit too thick and cheap-feeling for the price.,
Teri,Beauty,https://www.amazon.com/gp/customer-reviews/RJ3ZQBEILJGG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," June 7, 2024",Size: X-LargeColor: Teal,Verified Purchase,This dress is not only beautiful but compliments my body in the most stunning way!! I love the retro vibe!,
Carrie Fassler,Love it,https://www.amazon.com/gp/customer-reviews/R31F7B2IY31JHW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," May 29, 2024",Size: XX-LargeColor: Black,Verified Purchase,I love this dress! It is very comfortable. I am a size 18 and the XXL was not too tight.,3
lyddibug,Cute and comfy,https://www.amazon.com/gp/customer-reviews/R3EVFEXBYQ8RQ9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09PRFMX2C,"5.0 "," the United States "," May 29, 2024",Size: LargeColor: Dark Green,Verified Purchase,True to size. Material is not irritating to my skin. Fits well and comfortable. Nice dress!,
