评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Ranson lee,My favorite shoes,https://www.amazon.com/gp/customer-reviews/R22U83F73IEGMD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"5.0 "," the United States "," January 25, 2025",Size: 11 WideColor: W85 Green Gum,Verified Purchase,Hands down the most comfortable shoes I have. From the moment I first put them on I knew I needed to buy more pairs. I’ll be buying more from this brand,
Amorton7,Why did I listen?,https://www.amazon.com/gp/customer-reviews/R3UWG2ITBSP7TX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"1.0 "," the United States "," January 24, 2025",Size: 11 WideColor: W85 Cool Grey,Verified Purchase,"These shoes are fragile. I have worn many barefoot-style shoes in the past, and gave these a chance due to a referral. I should not have listened. They are brittle, narrow in the toe box, and the customer service has been very poor. The pair I ordered was clearly worn. Shoes are glued together with cheap fabric. Spend your money elsewhere and buy a better brand (xero, vivo barefoot, altas, etc).",
Dustin Roach,Love these,https://www.amazon.com/gp/customer-reviews/R25MQXNUVXG0VP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"5.0 "," the United States "," January 22, 2025",Size: 10 WideColor: W85 Light Grey,Verified Purchase,These shoes are amazing!!  I wear a 10.5 (in Nike) and got the 10. They fit great. If you are looking for a pair of shoes that has no cushion has plenty of room in the toe box and super comfy these are for you. They have a sock like fit at the top which makes the fit awesome.  I got these because of my plantar fasciitis and they have helped.  Plus I can slip them on with no socks.  Definitely gonna get another pair. I highly recommend them.,
Cary,Ask Yourself If You Have Fat Feet Before Ordering,https://www.amazon.com/gp/customer-reviews/R2CG4IDJ5L7QE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"3.0 "," the United States "," January 14, 2025",Size: 13 WideColor: W85 Classic Black Gum,Verified Purchase,"My foot measures 11.5 inches exactly, which falls between 12.5 and 13 on the size chart. I sized up, which was the wrong decision. I should have sized down, and not because of the length or width, but because of the generous girth of the shoes. On a normal shoe this isn’t a problem, but this shoe does not have a floating tongue, so when I attempt to snug them up, I have to “fold” the tongue. I would have returned them if I had noticed at the onset, but they are stretching out with every wear, and getting worse. I have wide feet, but not fat feet. I wish I would have known before wearing them out, and not being able to return them.",
William D. Whitley,Most comfortable shoe ever,https://www.amazon.com/gp/customer-reviews/R13FIS92Q7VWKS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"5.0 "," the United States "," January 11, 2025",Size: 14 WideColor: W85 Rich Black,Verified Purchase,Light weight plenty of toe room Nonskid great support,
anon,Great gym shoes,https://www.amazon.com/gp/customer-reviews/R1NFZP5H85NA8X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"5.0 "," the United States "," January 10, 2025",Size: 8 WideColor: W85 Rich Black,Verified Purchase,Love these for my powerlifting training. Been using them 4 days a week for about 2 years. Great entry level barefoot shoes. Never gonna forget these after I dive into more expensive pairs,
Lesly Alejandra Pedroza,Comodidad,https://www.amazon.com/gp/customer-reviews/R2T6ML0FTT8EZL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"5.0 "," the United States "," January 3, 2025",Size: 7 WideColor: W85 Classic Black Gum,Verified Purchase,"Fueron un regalo para mi esposo, le gustó bastante ya que sufre por tener pie plano. Es un buen comienzo para una persona que está haciendo transición a un zapato respetuoso, ya que la suela no es lo suficiente delgada.",
Sam James,Comfortable and great for powerlifting,https://www.amazon.com/gp/customer-reviews/R3KRPR3NO67Z5Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"5.0 "," the United States "," December 24, 2024",Size: 11 WideColor: W85 Cool Grey,Verified Purchase,As an avid powerlifter I always prefer a barefoot lift and these are basically that use only for lifting or paved surfaces the rocks will kill you but the grip for lifts is unbeatable.,
Michael,So comfy,https://www.amazon.com/gp/customer-reviews/R3N9COJ5LE8S0Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"5.0 "," the United States "," December 23, 2024",Size: 10 WideColor: W85 Taupe,Verified Purchase,These are some of my favorite shoes. I like the minimalist zero drop shoes. With a wide toe box my toes are comfortable with no pinching. People who like walking barefoot will like these shoes.,
J & E Ralston,Super wide! Outstanding value.,https://www.amazon.com/gp/customer-reviews/R38F3FWPJ4FUA3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLV667HH,"5.0 "," the United States "," December 19, 2024",Size: 9 WideColor: W85 Green Gum,Verified Purchase,"These were a great find. I was skeptical because of the brand and price, so I have waited 5 months to write this review.  I am a woman with big, wide feet. Finding shoes is a pain, as not many styles are offered in a Women’s 11W. I often resort to buying men’s shoes in gender-neutral styles.  I always wear a women’s 11W, but for some reason I always need a 10 to 10.5 in men’s shoes. I first ordered these in a 10, but they were too big. I sized down to a 9 and the length is perfect.  My husband has a 9 in the regular width of these shoes. They are slightly too narrow on me. These are slightly too wide, but still wearable.  The shoes are a great material and very stylish. They show minimal wear after 5 months. (I only wear them 1-2 times a week.)  The only con is my big toenail sometimes gets sore wearing these. The same thing happens with Crocs. I think it’s due to the up and down roominess of both kinds of shoes.  Overall, I definitely recommend this particular style.",
